tenure,monthly_charges,senior_citizen,payment_electronic,contract_type,target
28,69.64,1,1,Month-to-month,1
7,79.68,1,1,Month-to-month,1
12,53.42,0,0,Two year,0
34,97.09,1,0,Two year,1
33,30.66,0,1,Month-to-month,0
48,27.51,0,1,Month-to-month,0
23,92.82,0,0,Two year,0
62,69.55,0,1,Two year,0
37,88.84,0,0,Month-to-month,0
44,63.48,0,0,Month-to-month,0
35,44.64,0,1,Month-to-month,0
65,101.91,0,1,Two year,0
47,99.94,0,0,Month-to-month,0
3,89.47,0,1,Month-to-month,0
1,47.21,0,0,One year,1
5,79.02,0,0,Month-to-month,0
14,56.1,0,0,Month-to-month,1
27,29.16,0,1,Month-to-month,0
9,111.73,1,0,Month-to-month,1
15,33.68,0,0,Month-to-month,0
42,115.02,0,0,One year,0
51,64.6,0,1,Month-to-month,0
63,38.51,0,1,One year,0
52,74.19,0,1,Two year,0
4,107.29,1,0,One year,0
23,93.22,0,1,Month-to-month,1
15,100.66,0,0,Month-to-month,0
43,85.88,0,1,Month-to-month,1
29,89.23,0,1,Month-to-month,0
36,104.92,0,0,Month-to-month,0
13,44.97,0,1,One year,1
32,68.94,0,0,Month-to-month,0
71,42.12,0,0,Month-to-month,0
59,118.77,0,0,Month-to-month,0
28,114.41,1,0,One year,0
66,23.94,0,0,Month-to-month,0
42,90.56,0,1,One year,1
45,112.52,0,0,Month-to-month,1
62,38.06,0,1,Two year,0
57,76.79,1,0,Two year,0
6,111.55,0,0,Month-to-month,1
28,23.39,0,1,Month-to-month,0
28,89.74,1,0,Month-to-month,0
44,49.73,0,0,Month-to-month,0
30,112.44,1,1,One year,0
62,117.11,0,0,Two year,0
62,114.43,0,0,One year,0
1,67.42,0,0,Two year,0
27,106.2,0,1,Month-to-month,1
62,104.45,1,1,Month-to-month,1
3,51.91,0,1,One year,0
70,102.89,0,1,Month-to-month,0
27,23.7,0,0,One year,0
9,79.63,0,0,Month-to-month,0
62,43.0,0,1,Month-to-month,0
37,32.06,1,0,Two year,0
51,27.7,0,0,Month-to-month,0
44,89.63,0,0,Two year,0
24,53.99,0,0,Two year,0
59,92.48,0,1,One year,0
32,26.54,0,0,One year,0
52,51.53,0,0,One year,0
62,73.95,1,0,Two year,0
58,99.07,0,1,Month-to-month,0
52,51.88,0,0,Month-to-month,0
12,82.59,0,0,One year,0
39,108.6,1,1,Month-to-month,1
2,81.59,0,1,Month-to-month,0
3,43.3,0,0,Month-to-month,0
56,22.44,0,0,One year,0
59,107.01,0,0,Two year,0
2,22.13,0,0,Month-to-month,0
2,107.47,0,0,Two year,1
54,72.89,0,0,One year,0
1,113.91,0,0,Two year,1
19,99.88,1,0,One year,1
2,119.79,1,1,One year,1
53,55.07,0,1,Month-to-month,0
44,96.72,0,1,Two year,0
32,60.19,0,0,Month-to-month,0
70,67.99,0,0,Two year,0
32,82.75,0,1,Two year,0
68,107.37,0,0,Month-to-month,0
55,118.41,0,0,Month-to-month,0
56,96.83,1,0,One year,0
17,61.78,0,1,Month-to-month,0
38,62.14,0,1,Two year,0
24,93.76,0,0,Month-to-month,1
69,43.88,0,0,Month-to-month,0
70,31.05,0,1,Two year,0
11,55.46,0,0,One year,0
16,48.72,0,1,Two year,1
59,49.63,0,1,Month-to-month,0
70,43.36,0,1,One year,0
3,24.21,0,0,One year,0
20,21.79,1,0,One year,1
59,118.77,1,0,One year,0
36,62.78,1,1,One year,1
19,58.43,0,1,Month-to-month,0
67,87.96,0,0,Month-to-month,0
19,41.83,1,0,One year,0
20,115.0,0,1,Month-to-month,1
71,98.63,0,1,One year,1
52,28.94,0,1,Month-to-month,0
33,61.76,0,0,One year,0
40,107.91,1,0,One year,1
39,114.47,0,1,Month-to-month,1
1,66.74,0,1,Month-to-month,0
11,81.34,0,0,Month-to-month,0
57,36.7,0,0,One year,0
50,119.12,1,0,Two year,0
23,43.17,0,0,Month-to-month,1
31,114.27,0,0,One year,1
42,84.96,1,1,Month-to-month,1
7,80.77,0,0,Month-to-month,0
16,71.27,0,1,Two year,1
60,43.07,0,0,Month-to-month,1
2,37.65,0,1,Month-to-month,0
1,42.05,0,1,Month-to-month,0
48,38.64,0,0,Month-to-month,0
12,97.96,0,0,Month-to-month,1
69,55.01,0,0,Month-to-month,1
37,25.78,1,0,One year,0
32,116.91,0,1,Month-to-month,0
9,108.38,0,1,One year,1
19,112.78,0,0,Month-to-month,1
48,119.49,0,0,Month-to-month,0
3,37.39,0,0,One year,1
20,59.62,1,1,Two year,1
24,95.82,1,0,Month-to-month,1
54,89.6,0,0,Two year,0
33,35.39,1,1,One year,0
24,101.58,0,1,One year,0
36,42.44,0,0,One year,0
38,42.38,0,1,Month-to-month,0
25,73.7,1,0,Month-to-month,0
18,79.29,0,0,One year,1
66,78.01,0,1,Month-to-month,0
54,29.15,0,1,Two year,0
35,107.75,0,0,Month-to-month,0
61,46.56,0,0,Month-to-month,0
41,32.95,1,0,One year,0
33,108.87,1,0,Month-to-month,1
68,115.57,0,0,One year,0
33,106.21,1,0,One year,1
14,100.95,0,0,Two year,1
21,85.52,1,1,One year,0
48,75.09,0,1,One year,0
20,28.7,0,1,One year,0
8,60.85,0,0,Two year,1
7,57.27,1,1,Month-to-month,1
67,45.98,0,1,Month-to-month,0
17,92.34,0,1,Month-to-month,0
33,69.59,0,1,Month-to-month,0
48,28.1,0,1,One year,0
59,42.02,0,0,One year,1
22,88.33,0,0,One year,0
30,27.61,1,1,Month-to-month,1
38,105.12,0,1,One year,0
51,69.51,0,1,Month-to-month,1
54,68.06,0,0,One year,0
8,79.24,1,0,One year,0
27,102.47,1,0,Month-to-month,0
27,54.78,0,1,Month-to-month,1
21,87.8,0,0,Month-to-month,0
30,76.57,0,0,Two year,0
28,46.7,0,0,Two year,0
64,107.86,1,0,One year,0
69,99.74,0,1,Month-to-month,0
61,85.85,0,1,Month-to-month,0
48,105.06,0,1,One year,0
19,106.73,1,0,One year,1
4,90.84,0,1,Month-to-month,1
35,103.7,0,0,Month-to-month,1
64,89.75,0,1,One year,0
49,88.01,1,0,Month-to-month,0
17,81.86,0,0,Month-to-month,0
44,95.27,0,1,Month-to-month,0
30,35.86,0,1,One year,0
46,108.09,0,0,Two year,0
6,107.18,0,1,Two year,1
37,22.92,0,0,One year,0
24,102.58,0,0,One year,0
46,32.89,0,0,Month-to-month,1
53,53.51,0,0,One year,0
60,94.35,1,0,Month-to-month,0
63,36.08,0,0,One year,0
32,101.8,1,0,Month-to-month,0
33,103.21,0,1,Month-to-month,1
67,70.75,0,0,Month-to-month,0
18,20.64,0,1,Month-to-month,0
25,48.7,0,0,Month-to-month,0
54,81.69,0,1,Month-to-month,0
58,118.12,0,0,Two year,0
67,83.18,0,0,Month-to-month,1
46,45.98,1,0,One year,1
24,83.4,0,0,Two year,0
32,74.0,1,0,Two year,0
47,97.98,0,1,One year,0
23,30.7,0,1,Two year,1
66,96.1,0,1,Month-to-month,0
27,74.13,0,1,Month-to-month,0
2,116.3,0,0,Month-to-month,1
17,54.19,0,0,One year,0
33,83.26,0,0,One year,1
9,113.2,0,0,Month-to-month,0
43,30.25,0,0,Month-to-month,0
48,113.72,1,0,One year,0
39,88.79,1,0,Month-to-month,0
42,26.78,0,0,One year,0
26,50.1,0,1,One year,0
50,90.82,0,1,One year,0
25,26.74,0,0,One year,0
24,78.22,1,1,Two year,1
13,54.59,0,1,Month-to-month,0
60,82.09,0,0,One year,0
7,24.57,0,0,One year,1
57,107.15,0,0,Month-to-month,0
36,117.35,0,1,Month-to-month,0
45,116.89,1,1,Month-to-month,1
20,94.97,0,0,Month-to-month,1
65,33.01,0,0,One year,0
8,95.83,1,0,Two year,1
16,22.46,0,0,Month-to-month,0
14,22.21,0,0,Month-to-month,0
15,52.36,0,1,Two year,0
66,68.86,0,1,Month-to-month,0
32,97.04,1,1,Month-to-month,1
63,88.33,0,1,One year,0
51,64.59,1,1,One year,1
25,47.36,0,0,Month-to-month,0
58,119.71,1,1,Month-to-month,1
63,62.62,0,0,Month-to-month,0
62,65.14,1,1,One year,1
22,36.36,0,0,One year,0
58,99.48,1,1,Month-to-month,0
58,89.37,0,0,One year,0
49,42.08,0,0,Two year,0
52,28.24,1,0,Month-to-month,0
42,88.05,0,0,Month-to-month,0
70,85.45,1,1,One year,1
15,47.33,0,1,Month-to-month,1
54,115.09,0,0,Month-to-month,0
60,35.11,0,0,One year,0
8,63.23,0,0,Two year,1
53,114.36,0,0,Two year,0
60,61.97,0,0,One year,0
5,83.85,0,1,One year,1
68,59.76,0,0,Month-to-month,0
6,47.42,0,0,One year,0
47,118.4,0,0,Month-to-month,1
55,60.93,0,0,Month-to-month,0
40,109.41,0,0,One year,0
52,43.0,0,1,One year,0
16,41.31,1,0,Month-to-month,0
13,23.11,1,0,Two year,0
30,85.17,0,0,Month-to-month,0
19,56.85,0,0,Month-to-month,1
17,106.44,1,0,Month-to-month,0
63,67.32,0,1,One year,0
19,116.82,0,1,One year,1
58,38.55,0,0,Month-to-month,0
55,106.86,0,0,One year,0
62,97.66,0,0,Month-to-month,0
23,97.09,0,0,One year,0
9,104.48,1,1,Month-to-month,1
12,96.1,1,1,Month-to-month,1
1,82.62,0,0,Two year,0
58,33.12,0,0,Month-to-month,0
1,23.25,1,0,Month-to-month,0
34,112.08,0,1,One year,0
48,81.67,0,1,Two year,0
1,99.65,0,0,Month-to-month,1
16,68.15,1,0,Month-to-month,0
61,31.73,0,1,Month-to-month,0
64,32.52,1,0,One year,0
63,88.56,1,0,Month-to-month,0
69,63.03,0,0,One year,0
22,40.05,0,1,Two year,1
67,69.16,0,0,Month-to-month,0
26,26.42,0,0,Month-to-month,0
16,78.2,0,1,Month-to-month,0
51,46.9,0,0,Month-to-month,0
57,99.76,0,0,Two year,0
29,51.04,1,0,Month-to-month,0
69,65.52,0,0,Month-to-month,0
47,21.16,0,1,One year,0
62,27.24,0,0,Month-to-month,0
69,59.25,0,0,One year,0
16,67.99,0,0,Month-to-month,0
48,80.0,0,1,Two year,0
39,49.17,0,1,Two year,0
33,89.5,0,0,One year,1
23,106.01,0,0,Two year,1
10,97.99,0,1,Month-to-month,1
69,23.96,0,0,Month-to-month,0
34,68.05,1,1,One year,1
52,30.49,0,1,One year,0
10,44.2,0,1,Month-to-month,1
19,118.67,0,0,Month-to-month,1
58,34.25,0,0,Month-to-month,0
1,69.89,0,1,Month-to-month,1
69,81.82,0,0,Month-to-month,0
4,90.25,0,0,One year,1
16,75.96,0,1,Month-to-month,1
24,20.98,0,1,Month-to-month,0
2,52.65,0,0,One year,0
32,71.77,0,0,One year,0
24,28.79,1,0,Two year,0
12,55.06,0,1,One year,1
50,23.32,0,1,Month-to-month,0
35,27.86,0,0,Two year,0
33,59.69,0,0,One year,0
33,33.27,0,1,Month-to-month,0
61,76.75,0,0,One year,1
51,88.95,0,0,Two year,1
43,100.06,0,1,Month-to-month,0
12,40.02,0,0,Month-to-month,1
67,36.75,0,1,Month-to-month,0
65,30.46,0,0,Month-to-month,0
33,83.64,0,0,Month-to-month,0
40,90.65,0,1,One year,1
43,23.16,1,0,Month-to-month,0
44,113.62,0,1,Two year,1
29,25.2,0,0,One year,0
13,74.13,0,0,One year,0
12,90.91,1,0,Two year,1
46,107.1,0,0,Month-to-month,0
2,91.41,0,0,Month-to-month,1
35,100.17,0,0,One year,0
8,53.95,0,0,Two year,0
26,101.48,0,0,One year,0
34,28.01,0,1,Month-to-month,0
7,109.48,1,1,Two year,1
68,74.76,0,1,Month-to-month,0
58,101.73,0,0,Two year,0
29,65.23,1,0,Two year,0
36,84.36,0,1,Month-to-month,0
21,72.64,0,0,One year,1
36,93.16,0,0,Month-to-month,0
10,28.16,0,1,Month-to-month,1
24,26.04,0,1,One year,0
64,44.71,1,0,One year,0
49,35.95,0,0,Two year,0
36,107.18,0,1,One year,0
24,41.92,0,0,Month-to-month,0
23,117.59,1,1,Two year,1
62,53.69,1,1,Two year,0
37,38.21,1,1,Month-to-month,1
12,98.97,0,0,Two year,1
55,85.87,0,0,Month-to-month,0
13,69.82,0,1,Two year,0
23,75.54,0,1,Month-to-month,1
30,91.92,0,1,Month-to-month,0
17,42.85,0,0,Month-to-month,1
62,119.63,0,0,One year,0
13,117.48,0,1,Month-to-month,0
59,85.03,0,1,Month-to-month,0
19,39.95,0,1,One year,0
49,88.02,0,1,Two year,0
12,27.22,0,0,Month-to-month,0
61,23.07,0,1,Month-to-month,1
19,45.77,0,1,Month-to-month,0
9,66.26,0,0,Month-to-month,0
71,106.83,0,1,Two year,1
28,92.72,0,0,Two year,1
52,94.27,1,0,One year,0
16,62.55,0,1,Month-to-month,0
69,54.59,0,0,One year,1
12,57.1,0,0,One year,1
25,118.76,0,0,Two year,1
52,24.01,0,0,One year,0
53,106.7,0,0,One year,0
23,77.87,1,0,One year,0
16,63.86,0,1,Month-to-month,1
57,92.53,1,0,Two year,0
39,68.67,0,0,One year,0
53,107.34,0,0,One year,0
42,110.07,1,1,Month-to-month,1
58,62.17,0,0,One year,0
39,47.68,0,1,One year,0
14,79.24,0,1,Month-to-month,0
5,111.24,0,1,Month-to-month,1
35,41.07,0,0,One year,0
18,82.3,0,1,One year,0
9,83.16,0,0,One year,0
58,93.31,0,1,Month-to-month,0
17,33.16,0,1,One year,0
7,91.58,0,0,Month-to-month,0
46,110.9,0,0,Month-to-month,0
13,37.97,0,0,Month-to-month,0
40,43.75,0,1,Month-to-month,0
42,117.14,0,0,Month-to-month,0
9,38.1,1,0,Month-to-month,0
50,105.44,0,0,Month-to-month,0
27,69.23,0,1,Month-to-month,0
66,44.72,0,1,One year,0
5,107.07,0,1,Month-to-month,0
29,64.53,0,1,Month-to-month,0
37,71.48,0,0,Two year,0
38,55.92,0,0,Month-to-month,0
8,79.3,0,1,One year,1
65,36.35,1,0,Month-to-month,0
17,59.11,1,0,Month-to-month,0
71,116.94,1,0,One year,0
45,45.81,0,0,One year,1
4,85.67,0,0,Two year,0
36,52.52,0,1,One year,0
70,97.35,0,0,Two year,0
31,33.09,0,0,Month-to-month,0
19,116.98,0,0,Month-to-month,0
61,65.38,0,1,Month-to-month,0
54,43.61,0,0,Month-to-month,0
39,27.35,0,1,One year,0
19,36.98,0,1,One year,0
39,71.98,0,0,Month-to-month,0
67,53.7,1,1,Two year,0
45,102.89,0,1,Two year,0
13,63.09,0,1,Month-to-month,1
58,44.87,0,1,Month-to-month,0
20,81.71,0,0,Month-to-month,0
61,90.68,0,0,Month-to-month,0
39,36.7,0,0,Month-to-month,0
1,36.76,0,0,One year,0
3,23.67,0,1,Month-to-month,0
62,93.64,0,0,Month-to-month,0
63,86.38,0,1,Two year,0
25,67.46,0,1,One year,0
56,104.42,0,1,Two year,0
33,100.57,0,1,Month-to-month,0
38,78.54,1,0,Month-to-month,0
6,106.83,0,0,One year,1
58,40.58,0,0,Month-to-month,0
44,31.19,0,0,Month-to-month,0
45,46.97,0,0,One year,0
32,25.71,0,0,One year,1
45,73.12,0,1,Month-to-month,1
61,113.66,1,0,Month-to-month,0
47,23.93,0,0,Month-to-month,0
21,32.21,0,1,Month-to-month,0
36,65.22,0,0,Month-to-month,0
19,113.39,0,0,Month-to-month,1
20,51.62,0,1,Month-to-month,1
57,70.72,0,1,Two year,0
18,24.16,0,1,One year,0
47,34.83,0,0,One year,0
49,118.66,0,1,Month-to-month,0
14,116.51,1,1,Month-to-month,1
15,20.49,0,0,Month-to-month,0
31,115.18,1,1,Month-to-month,1
1,83.91,0,1,Month-to-month,0
54,106.79,1,0,One year,0
3,65.47,0,0,One year,0
16,71.56,1,1,One year,1
57,68.88,1,1,Month-to-month,0
12,86.69,0,0,Two year,1
16,33.97,1,1,Month-to-month,1
24,23.0,0,0,Month-to-month,0
28,50.79,0,0,Month-to-month,0
8,90.47,0,0,One year,0
36,40.19,0,1,Two year,1
8,87.34,0,1,Month-to-month,0
58,116.99,0,0,Two year,0
60,29.39,0,0,Two year,0
50,87.26,0,0,Month-to-month,1
28,64.38,1,1,Month-to-month,0
41,106.81,0,1,Month-to-month,1
64,37.71,0,1,Two year,0
27,89.26,0,1,Month-to-month,0
63,103.81,0,1,One year,0
17,114.46,0,0,Month-to-month,0
33,88.32,0,0,One year,1
29,69.72,0,0,Month-to-month,0
13,81.78,1,1,One year,1
46,106.89,0,1,Two year,1
35,77.06,0,0,Two year,0
6,23.04,0,1,Two year,0
69,113.09,0,0,Month-to-month,0
47,88.95,0,0,One year,0
25,87.65,0,1,Month-to-month,0
66,41.57,0,1,Month-to-month,0
10,85.89,0,1,One year,0
56,59.39,1,0,Month-to-month,0
30,85.12,1,0,One year,1
5,30.66,0,1,Two year,1
33,85.78,0,0,Month-to-month,0
65,119.94,0,0,One year,0
18,24.82,0,1,Month-to-month,0
49,117.72,0,0,Month-to-month,0
11,60.69,0,1,Month-to-month,0
26,107.08,0,1,Two year,0
63,98.24,0,0,Two year,0
59,76.7,0,0,Two year,0
27,93.84,1,1,Two year,1
49,107.85,1,1,Month-to-month,1
33,60.41,0,1,Month-to-month,0
1,52.7,0,1,One year,1
21,86.76,1,1,Month-to-month,1
55,100.78,0,1,Month-to-month,0
6,96.23,0,0,Month-to-month,0
69,99.78,0,0,One year,0
5,63.56,0,0,One year,1
3,101.78,0,0,Month-to-month,0
53,32.02,1,0,Month-to-month,0
23,74.45,1,0,One year,0
53,20.58,0,1,One year,0
37,52.46,0,0,Month-to-month,0
17,56.65,1,0,One year,0
1,59.62,0,0,Month-to-month,1
51,89.55,1,0,Month-to-month,0
45,58.86,0,0,One year,0
4,64.87,0,0,One year,0
62,43.75,0,0,Month-to-month,0
65,57.33,0,1,One year,0
32,42.73,0,1,One year,0
34,27.32,0,1,One year,0
39,80.34,0,1,One year,0
26,86.82,0,0,One year,0
34,81.95,0,1,Month-to-month,0
54,66.35,1,1,Month-to-month,0
3,57.98,1,0,Month-to-month,0
50,106.33,0,1,Month-to-month,0
12,71.91,1,0,One year,0
65,67.92,0,1,One year,1
54,22.56,0,1,Month-to-month,0
5,54.12,1,0,Month-to-month,0
57,58.02,0,1,Month-to-month,0
17,59.88,0,1,Month-to-month,1
47,78.02,1,1,One year,1
23,73.36,0,0,Month-to-month,0
14,80.79,1,1,One year,1
66,96.49,1,0,Two year,0
51,101.3,0,0,Month-to-month,1
38,91.81,1,0,Month-to-month,0
64,115.55,0,1,Month-to-month,0
38,21.82,0,1,One year,0
50,39.58,0,1,One year,0
30,20.76,1,1,Month-to-month,0
51,84.75,0,0,One year,0
63,109.8,0,0,Two year,0
52,44.35,0,0,Month-to-month,0
38,112.7,0,0,Month-to-month,0
30,26.03,0,0,Two year,0
51,113.44,0,0,One year,0
5,55.16,0,0,Two year,0
29,30.14,0,0,One year,0
4,68.59,1,0,Two year,0
10,45.68,0,0,Month-to-month,1
56,48.49,0,1,One year,0
17,50.73,1,1,Two year,1
17,100.3,0,1,One year,1
69,73.92,1,0,Month-to-month,0
34,51.13,0,0,Month-to-month,0
6,81.03,1,1,Month-to-month,1
53,91.62,0,0,Month-to-month,0
66,47.26,0,0,Month-to-month,0
43,61.35,0,0,One year,0
23,32.19,1,0,One year,1
55,38.11,0,0,Month-to-month,0
16,88.11,0,0,One year,0
8,38.14,0,1,Month-to-month,0
4,72.52,0,0,Month-to-month,0
4,90.9,0,0,Month-to-month,1
56,30.69,0,1,One year,0
25,76.73,1,0,Month-to-month,0
67,45.66,0,0,Month-to-month,0
67,116.29,0,1,Month-to-month,0
27,68.35,0,0,Two year,1
32,100.6,0,0,Month-to-month,1
50,75.02,0,0,One year,1
61,24.34,0,0,One year,0
51,83.32,0,0,One year,0
19,115.14,0,1,Two year,1
21,80.16,0,0,Month-to-month,0
5,101.92,1,0,Month-to-month,0
42,108.42,1,0,Two year,0
61,42.81,0,0,Month-to-month,0
22,41.2,1,1,One year,1
21,81.1,0,0,One year,1
70,61.1,0,0,One year,0
1,103.99,0,0,Two year,1
5,110.0,0,0,Two year,0
12,55.34,0,0,One year,0
46,43.69,0,1,Month-to-month,0
34,98.05,0,0,Two year,1
49,47.48,0,0,Month-to-month,0
45,102.26,0,0,Month-to-month,0
27,62.37,0,1,Two year,1
26,86.75,0,0,Month-to-month,0
47,29.55,0,1,Month-to-month,0
56,82.39,1,1,Month-to-month,0
63,65.18,1,1,Two year,0
48,78.66,0,0,One year,0
61,36.8,1,0,One year,0
26,93.69,0,1,Month-to-month,0
36,106.28,0,1,One year,0
1,41.67,0,1,One year,0
8,29.57,0,0,Month-to-month,1
52,22.36,1,0,Month-to-month,0
47,84.2,0,0,Month-to-month,0
56,80.71,0,1,Two year,0
14,74.67,0,0,One year,0
28,43.19,0,0,Two year,1
2,59.09,1,1,Month-to-month,1
26,79.45,0,0,One year,0
14,69.68,0,1,One year,0
59,118.78,0,0,One year,0
56,33.64,0,0,Two year,0
7,89.51,0,0,Month-to-month,1
3,60.43,0,1,Month-to-month,0
23,62.82,0,0,One year,0
18,91.76,0,0,One year,0
38,89.24,1,1,One year,1
15,119.13,1,0,Month-to-month,1
64,32.84,0,0,One year,0
28,30.41,0,0,Month-to-month,0
39,92.43,0,0,Month-to-month,0
57,77.84,0,1,One year,0
17,47.42,0,0,One year,0
44,27.94,0,0,Month-to-month,0
25,28.57,0,0,Month-to-month,0
17,109.42,0,1,Month-to-month,0
13,39.19,0,0,Month-to-month,0
25,52.34,0,0,One year,0
68,42.67,0,0,Two year,0
10,55.5,0,0,Month-to-month,0
67,26.94,0,0,One year,0
18,71.91,0,0,Two year,0
34,26.76,0,1,Two year,0
8,100.04,0,0,Month-to-month,0
40,43.37,0,1,Two year,0
42,74.0,0,1,Month-to-month,0
41,108.01,1,0,Month-to-month,1
6,85.09,0,0,Month-to-month,0
52,73.3,0,0,Month-to-month,0
26,52.43,0,1,Month-to-month,0
64,53.3,0,0,Month-to-month,0
59,86.95,0,0,Month-to-month,0
56,119.41,0,0,Two year,0
59,86.18,0,1,Two year,0
70,75.78,1,1,Month-to-month,0
33,93.07,0,0,Two year,1
53,66.52,0,1,Two year,0
22,26.01,1,0,One year,0
21,76.23,0,0,Month-to-month,0
70,115.76,1,1,One year,0
70,37.53,0,0,Two year,0
4,89.0,1,0,One year,0
62,40.09,0,0,Month-to-month,0
62,73.58,0,1,One year,0
24,29.67,0,1,One year,0
55,65.04,0,1,One year,0
9,95.62,0,1,Month-to-month,0
3,54.76,0,0,Month-to-month,0
31,86.49,0,0,Two year,1
40,99.54,0,0,Two year,1
36,112.72,0,0,Month-to-month,1
24,43.46,0,0,Two year,1
6,59.93,1,1,Month-to-month,1
66,35.24,0,0,One year,0
4,119.25,1,0,One year,1
6,112.7,0,0,Two year,1
51,74.0,0,0,Two year,0
62,104.2,0,1,Month-to-month,0
57,72.1,0,0,Two year,0
66,82.36,0,0,Month-to-month,0
8,28.91,0,1,One year,0
26,95.53,0,0,One year,1
51,32.77,1,0,One year,1
45,102.61,0,0,Month-to-month,0
44,98.2,0,0,Two year,0
5,90.87,0,1,Month-to-month,0
70,23.62,0,1,Month-to-month,0
26,50.31,0,0,One year,0
68,46.31,0,1,Month-to-month,0
19,56.01,0,0,Two year,0
20,28.76,0,0,Month-to-month,1
12,113.7,0,0,Month-to-month,1
47,75.38,1,0,Two year,0
1,50.55,1,0,One year,0
14,59.7,0,1,Month-to-month,0
64,64.72,0,1,One year,0
38,80.06,0,0,One year,1
37,71.57,1,0,One year,1
11,111.94,0,0,Month-to-month,0
3,69.7,0,0,Two year,0
33,119.22,0,0,Two year,0
6,105.14,0,0,One year,0
50,40.85,0,1,Month-to-month,0
10,113.06,0,0,Two year,0
5,31.64,0,0,One year,1
23,101.74,0,0,One year,0
10,58.06,0,0,Month-to-month,0
44,107.8,0,0,Two year,0
2,106.81,0,1,One year,0
13,100.59,0,0,Month-to-month,1
40,99.0,1,1,Month-to-month,0
2,50.47,0,0,Two year,1
65,28.09,0,0,Month-to-month,0
63,60.3,0,0,Two year,0
17,37.35,0,1,One year,0
9,89.5,0,0,One year,1
15,54.61,0,1,Month-to-month,1
24,117.56,1,0,Month-to-month,0
38,84.1,0,1,Two year,0
35,102.25,0,0,Month-to-month,1
49,33.25,0,1,One year,0
69,106.2,0,0,Month-to-month,0
62,112.28,0,1,Month-to-month,0
60,68.71,0,0,Month-to-month,0
50,80.63,0,0,One year,0
9,96.48,0,0,Two year,0
34,37.48,0,1,Month-to-month,0
35,70.26,0,0,Month-to-month,1
1,59.87,0,1,Month-to-month,0
40,34.64,0,0,One year,0
64,56.75,1,0,Month-to-month,0
22,26.82,0,0,Two year,0
60,22.58,0,1,One year,0
64,33.52,0,1,One year,0
11,116.31,0,1,Month-to-month,0
14,74.95,0,0,Two year,1
60,116.58,0,1,Month-to-month,0
30,63.25,1,1,Month-to-month,1
